25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL ,IP ,Umidade Ótima,Densidade máxima ,CBR 
"100,00","100,00","100,00","100,00","95,10","74,20","40,60","16,40","15,50",1673,"8,90"
"100,00","100,00","100,00","100,00","95,10","76,70","37,70","17,00","16,30",1643,"6,80"
"100,00","100,00","100,00","100,00","94,90","73,70","38,00","17,00","17,80",1664,"9,00"
"100,00","100,00","100,00","100,00","92,00","77,60","40,60","14,30","22,30",1640,"7,30"
"100,00","100,00","100,00","100,00","94,40","75,00","39,60","16,70","15,10",1668,"7,70"
"100,00","100,00","100,00","100,00","97,60","87,40","43,90","13,60","21,70",1537,"5,00"
"100,00","100,00","100,00","100,00","95,50","87,10","43,50","11,00","23,70",1593,"4,50"
"100,00","100,00","100,00","100,00","92,50","78,90","42,70","13,20","21,20",1618,"6,90"
"100,00","100,00","100,00","100,00","96,60","87,40","45,70","15,00","23,00",1571,"4,40"
"100,00","84,80","61,90","43,70","36,00","31,50","38,50","12,50","17,10",1831,"14,70"
"100,00","95,80","80,10","66,60","50,90","44,40","36,90","8,70","15,60",1870,"19,50"
"100,00","100,00","100,00","100,00","93,70","48,00","33,70","13,30","15,00",1739,"7,10"
"100,00","82,00","64,90","49,90","37,10","31,40","32,70","8,20","12,80",1905,"24,80"
"100,00","100,00","100,00","100,00","94,80","79,50","44,70","13,60","21,10",1607,"7,50"
"100,00","100,00","86,70","78,40","69,00","61,40","42,60","13,90","19,30",1702,"14,60"
"100,00","100,00","88,90","81,20","71,10","64,40","42,40","13,40","20,90",1644,"9,50"
"100,00","100,00","100,00","100,00","93,40","76,80","39,60","16,70","18,60",1675,"7,10"
