No. da Amostra,25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL,IP,Umidade Ótima,Densidade máxima,CBR,coluna_13
243,100.0,96.3,93.8,91.8,87.0,79.3,54.0,23.0,28.7,1441.0,18.1,
244,100.0,100.0,99.9,99.5,97.1,93.0,60.0,28.0,31.6,1394.0,17.4,
245,100.0,100.0,99.9,99.5,97.1,93.0,61.0,27.0,31.9,1424.0,21.7,
247,100.0,96.5,93.2,90.4,87.5,81.8,46.3,11.3,29.5,1493.0,8.3,
248,100.0,98.6,97.2,95.6,90.8,86.4,47.3,9.4,30.9,1422.0,7.1,
249,100.0,98.7,95.3,92.9,88.7,83.1,44.5,10.9,28.3,1487.0,9.3,
250,100.0,99.4,96.5,91.8,89.2,81.5,42.1,7.6,29.1,1455.0,8.6,
251,100.0,99.1,97.6,93.4,87.3,78.6,39.8,7.3,27.4,1509.0,8.1,
252,100.0,100.0,98.1,95.4,90.2,85.6,50.2,9.9,31.8,1391.0,9.8,
253,100.0,98.1,96.4,91.7,86.4,80.5,47.8,10.6,29.5,1438.0,8.4,
254,100.0,100.0,100.0,100.0,96.8,38.0,32.8,6.2,14.0,1701.0,10.9,
255,100.0,100.0,100.0,100.0,96.9,74.1,47.6,8.9,22.2,1593.0,6.9,
256,100.0,100.0,100.0,100.0,95.7,74.3,45.7,11.3,21.4,1616.0,6.3,
257,100.0,95.6,84.0,65.5,53.8,21.8,45.7,11.3,9.5,1949.0,34.7,
258,100.0,100.0,100.0,100.0,95.8,75.3,43.6,10.6,21.9,1605.0,5.6,
259,100.0,100.0,100.0,100.0,97.2,85.9,47.4,6.1,22.6,1519.0,6.3,
260,100.0,100.0,100.0,100.0,96.9,74.1,41.7,13.6,21.0,1612.0,6.3,
261,100.0,100.0,100.0,100.0,90.9,55.3,38.7,12.6,14.8,1638.0,7.7,
262,100.0,100.0,100.0,100.0,93.5,68.7,38.7,16.0,16.6,1656.0,6.8,
263,100.0,100.0,100.0,100.0,88.8,70.4,43.4,15.1,15.0,1591.0,7.2,
264,100.0,100.0,100.0,100.0,92.7,78.4,42.6,13.8,22.7,1620.0,6.9,
265,100.0,95.1,79.5,71.4,60.9,51.3,37.6,12.5,16.3,1731.0,13.8,
266,100.0,94.2,79.1,70.7,58.9,47.4,34.5,14.1,15.7,1710.0,13.7,
267,100.0,100.0,100.0,100.0,92.0,77.7,44.4,10.2,24.5,1607.0,6.3,
268,100.0,100.0,100.0,100.0,94.7,82.2,43.8,13.6,22.5,1596.0,6.8,
269,100.0,100.0,100.0,100.0,95.2,74.3,38.8,18.4,17.7,1659.0,8.8,
270,100.0,100.0,100.0,100.0,93.6,80.3,41.6,13.9,22.3,1605.0,7.3,
271,100.0,100.0,100.0,100.0,91.8,65.3,39.7,11.5,15.1,1641.0,6.6,
272,100.0,100.0,100.0,100.0,91.7,77.9,42.8,14.6,22.8,1635.0,7.7,
273,100.0,100.0,100.0,100.0,94.2,74.8,38.6,16.4,17.3,1665.0,7.7,
274,100.0,100.0,100.0,100.0,96.2,78.5,39.8,16.4,18.7,1647.0,6.9,
275,100.0,100.0,100.0,100.0,94.1,74.6,39.7,16.5,16.4,1650.0,8.2,
276,100.0,100.0,100.0,100.0,92.3,78.3,41.7,19.9,22.3,1625.0,6.9,
277,100.0,100.0,100.0,100.0,93.7,80.9,46.7,10.5,24.3,1561.0,5.7,
278,100.0,100.0,100.0,100.0,93.1,78.4,42.7,11.3,22.3,1618.0,6.4,
279,100.0,100.0,100.0,100.0,92.0,83.4,45.4,8.7,22.3,1547.0,4.7,
280,100.0,100.0,100.0,100.0,97.1,86.8,46.6,10.4,23.2,1561.0,5.9,
281,100.0,100.0,100.0,100.0,92.7,79.3,42.9,16.1,21.9,1602.0,6.1,
282,100.0,100.0,100.0,100.0,94.3,75.8,38.7,16.7,16.8,1674.0,7.6,
283,100.0,100.0,100.0,100.0,91.5,78.4,42.4,15.2,22.8,1629.0,7.0,
284,100.0,100.0,100.0,100.0,95.1,74.2,40.6,16.4,15.5,1673.0,8.9,
285,100.0,100.0,100.0,100.0,95.1,76.7,37.7,17.0,16.3,1643.0,6.8,
286,100.0,100.0,100.0,100.0,94.9,73.7,38.0,17.0,17.8,1664.0,9.0,
